# source_url: https://irn.justica.gov.pt/Portals/33/Regras%20Nome%20Proprio/Lista%20Nomes%20Pr%C3%B3prios.pdf?ver=WNDmmwiSO3uacofjmNoxEQ%3D%3D
# license: official IRN publication; no explicit open-data license found
# pdf_pages: 88
# parsed_pages_with_names: 88
# parse_coverage_pct: 100.0%
name,gender
AABAJ,M
AABIRAH,F
AADITI,F
AAGAMBIR,M
AAHAN,M
AAHIL,M
AAIRA,F
AAISH,F
AAKRITI,F
AALIA,F
AALIYA,F
AALIYAH,F
AALYIAH,F
AAMNA,F
AANKIT,M
AARAV,M
AARAVPREET,M
AARICA,F
AAROHI,F
AARON,M
AARUSH,M
AARUSHI,F
AARVI,F
AARYAN,M
AASAAL,M
AASHVI,F
AATIKA,F
AAYAM,M
AAYAN,M
AAYAT,F
AAYUN,M
AAYUSH,M
AAYUSHI,F
ABBY,F
ABBYGAELLE,F
ABD,M
ABDEL,M
ABDELHADI,M
ABDELLAH,M
ABDELRAHMAN,M
ABDERRAHMANE,M
ABDOALLAH,M
ABDOULAYE,M
ABDRAHMAN,M
ABDUCADRE,M
ABDUL,M
ABDULAI,M
ABDULLAH,M
ABDULMUIZ,M
ABDULRAHMAN,M
ABDULWAHAB,M
ABDURAMANE,M
ABDURRAHIM,M
ABEEDHA,F
ABEEHA,F
ABEL,M
ABHAY,M
ABHAYJIT,M
ABHINAV,M
ABHINAYA,F
ABHINOOR,M
ABHIYAN,M
ABIBO,M
ABIEL,M
ABIGAEL,F
ABIGAIL,F
ABILIO,M
ABIMAELA,F
ABIR,M
ABNER,M
ABOU,M
ABOUBACAR,M
ABRAAO,M
ABRAAR,M
ABRAHAM,M
ABRAIM,M
ABRAO,M
ABRAR,M
ABRAYENE,F
ABRIL,F
ABRISH,F
ABSALAO,M
ABUBACAR,M
ACACIA,F
ACACIO,M
ACAKAREIN,F
ACHIA,F
ACRICIA,F
ACUCENA,F
ADA,F
ADAB,M
ADALBERTO,M
ADALBMIRA,F
ADALGIZA,F
ADALIA,F
ADAM,M
ADAMA,M
ADAME,M
ADAN,F
ADANNA,F
ADAO,M
ADARSH,M
ADAYLTON,M
ADDIS,F
ADDISON,M
ADEEP,M
ADEL,F
ADELAIDE,F
ADELE,F
ADELIA,F
ADELIN,M
ADELINA,F
ADELINO,M
ADELIO,M
ADELLE,F
ADELMIRO,M
ADELSON,M
ADELY,F
ADELYNA,F
ADEM,M
ADEMIR,M
ADENAY,M
ADER,M
ADERITO,M
ADEYA,F
ADI,M
ADIANE,F
ADIEL,M
ADIL,M
ADILIA,F
ADILSON,M
ADITI,F
ADJA,F
ADJE,F
ADLA,F
ADNAL,M
ADNAN,M
ADNAV,M
ADNER,M
ADNEY,M
ADOLFO,M
ADON,M
ADONAI,M
ADONAY,M
ADONIAS,M
ADONIS,M
ADRIAAN,M
ADRIAN,M
ADRIANA,F
ADRIANE,F
ADRIANNA,F
ADRIANO,M
ADRICK,M
ADRIEL,M
ADRIELA,F
ADRIELE,F
ADRIELLE,F
ADRIELLY,F
ADRIELY,F
ADRIEN,M
ADRIS,F
ADRYAN,M
ADRYEL,M
ADRYELLE,F
ADULAI,M
ADY,M
ADYMARA,F
AECIO,M
AEDAN,M
AERIC,M
AFEEF,M
AFFAAN,M
AFIDJO,M
AFONSA,F
AFONSINA,F
AFONSO,M
AFRAZ,M
AFRIKA,F
AGAM,M
AGAMJOT,M
AGAMPREET,M
AGANDEEP,M
AGASHTI,F
AGATA,F
AGATHA,F
AGLAYA,F
AGNELO,M
AGNES,F
AGNIA,F
AGOSTINHO,M
AGUEDA,F
AGUINALDA,F
AGUSTINA,F
AHANA,F
AHINARA,F
AHMAD,M
AHMADOU,M
