# source_url: https://dados.gov.pt/api/1/datasets/r/e52dce08-035a-4eb5-bd2a-224f8f11e3a1
# license: cc-by-sa
# fetched_by: br-name-classifier pipeline.download --only lusophone
"ID","Ano","NOME","TOTAL"
"1","2017","Maria","5777"
"2","2017","Leonor","1682"
"3","2017","Matilde","1664"
"4","2017","Beatriz","1275"
"5","2017","Carolina","1151"
"6","2017","Mariana","1035"
"7","2017","Ana","1003"
"8","2017","Sofia","963"
"9","2017","Francisca","920"
"10","2017","Inês","887"
"11","2017","Margarida","835"
"12","2017","Clara","819"
"13","2017","Lara","783"
"14","2017","Alice","752"
"15","2017","Laura","718"
"16","2017","Benedita","644"
"17","2017","Diana","607"
"18","2017","Madalena","566"
"19","2017","Joana","522"
"20","2017","Camila","472"
"21","2018","Maria","5724"
"22","2018","Leonor","1641"
"23","2018","Matilde","1598"
"24","2018","Carolina","1185"
"25","2018","Beatriz","1184"
"26","2018","Alice","927"
"27","2018","Sofia","925"
"28","2018","Mariana","917"
"29","2018","Ana","860"
"30","2018","Francisca","844"
"31","2018","Benedita","841"
"32","2018","Margarida","820"
"33","2018","Inês","805"
"34","2018","Clara","791"
"35","2018","Lara","746"
"36","2018","Laura","721"
"37","2018","Madalena","624"
"38","2018","Diana","616"
"39","2018","Joana","491"
"40","2018","Eva","477"
"41","2019","Maria","5577"
"42","2019","Leonor","1558"
"43","2019","Matilde","1478"
"44","2019","Carolina","1158"
"45","2019","Beatriz","1045"
"46","2019","Alice","994"
"47","2019","Benedita","972"
"48","2019","Ana","841"
"49","2019","Mariana","837"
"50","2019","Francisca","825"
"51","2019","Margarida","780"
"52","2019","Sofia","773"
"53","2019","Clara","762"
"54","2019","Inês","722"
"55","2019","Lara","675"
"56","2019","Laura","654"
"57","2019","Madalena","614"
"58","2019","Diana","587"
"59","2019","Camila","578"
"60","2019","Mafalda","460"
"61","2020","Maria","5291"
"62","2020","Leonor","1406"
"63","2020","Matilde","1341"
"64","2020","Carolina","1116"
"65","2020","Benedita","1054"
"66","2020","Alice","1052"
"67","2020","Beatriz","1009"
"68","2020","Mariana","803"
"69","2020","Margarida","775"
"70","2020","Francisca","767"
"71","2020","Sofia","753"
"72","2020","Laura","700"
"73","2020","Ana","674"
"74","2020","Camila","667"
"75","2020","Inês","647"
"76","2020","Clara","644"
"77","2020","Lara","603"
"78","2020","Madalena","587"
"79","2020","Diana","541"
"80","2020","Vitória","498"
"81","2021","Maria","5109"
"82","2021","Leonor","1282"
"83","2021","Matilde","1274"
"84","2021","Alice","1134"
"85","2021","Carolina","985"
"86","2021","Benedita","962"
"87","2021","Beatriz","912"
"88","2021","Francisca","731"
"89","2021","Mariana","696"
"90","2021","Laura","685"
"91","2021","Margarida","670"
"92","2021","Sofia","658"
"93","2021","Ana","602"
"94","2021","Madalena","593"
"95","2021","Camila","581"
"96","2021","Inês","573"
"97","2021","Clara","564"
"98","2021","Constança","553"
"99","2021","Lara","523"
"100","2021","Diana","478"
"101","2022","Maria","5297"
"102","2022","Alice","1345"
"103","2022","Leonor","1252"
"104","2022","Matilde","1218"
"105","2022","Benedita","1006"
"106","2022","Carolina","976"
"107","2022","Beatriz","802"
"108","2022","Margarida","753"
"109","2022","Francisca","712"
"110","2022","Camila","668"
"111","2022","Sofia","648"
"112","2022","Clara","639"
"113","2022","Madalena","627"
"114","2022","Laura","596"
"115","2022","Mariana","592"
"116","2022","Ana","559"
"117","2022","Inês","557"
"118","2022","Constança","551"
"119","2022","Lara","512"
"120","2022","Diana","495"
"121","2023","Maria","5299"
"122","2023","Alice","1249"
"123","2023","Leonor","1228"
"124","2023","Benedita","1153"
"125","2023","Matilde","1145"
"126","2023","Carolina","939"
"127","2023","Beatriz","748"
"128","2023","Francisca","731"
"129","2023","Camila","687"
"130","2023","Sofia","682"
"131","2023","Margarida","672"
"132","2023","Aurora","643"
"133","2023","Laura","629"
"134","2023","Ana","622"
"135","2023","Clara","591"
"136","2023","Madalena","590"
"137","2023","Mariana","560"
"138","2023","Inês","498"
"139","2023","Constança","496"
"140","2023","Olívia","438"
