# source_url: https://dados.gov.pt/api/1/datasets/r/65175021-c8ca-4618-a04e-595c34ba15f6
# license: cc-by-sa
# fetched_by: br-name-classifier pipeline.download --only lusophone
"ID","Ano","NOME","TOTAL"
"1","2017","Santiago","1933"
"2","2017","Francisco","1785"
"3","2017","João","1744"
"4","2017","Afonso","1504"
"5","2017","Rodrigo","1426"
"6","2017","Martim","1346"
"7","2017","Tomás","1265"
"8","2017","Duarte","1236"
"9","2017","Miguel","1211"
"10","2017","Gabriel","1170"
"11","2017","Lourenço","1123"
"12","2017","Gonçalo","1083"
"13","2017","Dinis","1048"
"14","2017","Guilherme","1022"
"15","2017","Pedro","1000"
"16","2017","Salvador","922"
"17","2017","Lucas","893"
"18","2017","Rafael","890"
"19","2017","Tiago","860"
"20","2017","Gustavo","794"
"21","2018","João","1696"
"22","2018","Francisco","1635"
"23","2018","Santiago","1612"
"24","2018","Afonso","1425"
"25","2018","Duarte","1357"
"26","2018","Tomás","1319"
"27","2018","Rodrigo","1276"
"28","2018","Martim","1275"
"29","2018","Lourenço","1269"
"30","2018","Gabriel","1225"
"31","2018","Miguel","1216"
"32","2018","Lucas","978"
"33","2018","Pedro","971"
"34","2018","Vicente","964"
"35","2018","Guilherme","957"
"36","2018","Dinis","922"
"37","2018","Salvador","917"
"38","2018","Gonçalo","910"
"39","2018","Rafael","841"
"40","2018","Gustavo","777"
"41","2019","Francisco","1733"
"42","2019","João","1655"
"43","2019","Santiago","1492"
"44","2019","Afonso","1324"
"45","2019","Duarte","1297"
"46","2019","Lourenço","1292"
"47","2019","Gabriel","1287"
"48","2019","Miguel","1241"
"49","2019","Rodrigo","1241"
"50","2019","Tomás","1214"
"51","2019","Martim","1133"
"52","2019","Vicente","1129"
"53","2019","Guilherme","1008"
"54","2019","Lucas","957"
"55","2019","Salvador","953"
"56","2019","Pedro","903"
"57","2019","Dinis","882"
"58","2019","Mateus","858"
"59","2019","Gonçalo","851"
"60","2019","Rafael","833"
"61","2020","Francisco","1529"
"62","2020","João","1459"
"63","2020","Afonso","1417"
"64","2020","Duarte","1381"
"65","2020","Tomás","1375"
"66","2020","Gabriel","1322"
"67","2020","Santiago","1278"
"68","2020","Lourenço","1220"
"69","2020","Rodrigo","1162"
"70","2020","Miguel","1132"
"71","2020","Martim","1048"
"72","2020","Vicente","1027"
"73","2020","Mateus","973"
"74","2020","Lucas","933"
"75","2020","Guilherme","912"
"76","2020","Salvador","851"
"77","2020","Dinis","783"
"78","2020","Pedro","780"
"79","2020","Gonçalo","774"
"80","2020","Rafael","728"
"81","2021","Francisco","1583"
"82","2021","João","1397"
"83","2021","Duarte","1289"
"84","2021","Tomás","1253"
"85","2021","Afonso","1251"
"86","2021","Lourenço","1153"
"87","2021","Santiago","1116"
"88","2021","Gabriel","1085"
"89","2021","Martim","1034"
"90","2021","Miguel","1000"
"91","2021","Vicente","945"
"92","2021","Mateus","925"
"93","2021","Guilherme","911"
"94","2021","Lucas","902"
"95","2021","Rodrigo","895"
"96","2021","Salvador","793"
"97","2021","Pedro","739"
"98","2021","Dinis","701"
"99","2021","Gonçalo","694"
"100","2021","Rafael","647"
"101","2022","Francisco","1826"
"102","2022","Afonso","1317"
"103","2022","João","1310"
"104","2022","Tomás","1296"
"105","2022","Duarte","1267"
"106","2022","Lourenço","1190"
"107","2022","Santiago","1158"
"108","2022","Martim","1114"
"109","2022","Miguel","1056"
"110","2022","Gabriel","1046"
"111","2022","Mateus","973"
"112","2022","Rodrigo","957"
"113","2022","Lucas","924"
"114","2022","Vicente","902"
"115","2022","Guilherme","882"
"116","2022","Salvador","803"
"117","2022","Bernardo","718"
"118","2022","Pedro","689"
"119","2022","Gonçalo","660"
"120","2022","José","636"
"121","2023","Francisco","1533"
"122","2023","Afonso","1286"
"123","2023","Duarte","1283"
"124","2023","Lourenço","1269"
"125","2023","Tomás","1190"
"126","2023","João","1144"
"127","2023","Vicente","1058"
"128","2023","Gabriel","1035"
"129","2023","Santiago","1015"
"130","2023","Martim","1011"
"131","2023","Miguel","1005"
"132","2023","Mateus","908"
"133","2023","Rodrigo","855"
"134","2023","Lucas","844"
"135","2023","Bernardo","795"
"136","2023","Guilherme","777"
"137","2023","Salvador","746"
"138","2023","Pedro","668"
"139","2023","Gonçalo","624"
"140","2023","Rafael","605"
