# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q916
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q1921,Blaise Matuidi,,,ao,ao
Q3190551,Justino Victoriano,,,ao,ao
Q3242267,Viriato Clemente da Cruz,,,ao,ao
Q3268186,Luís Gomes Sambo,,,ao,ao
Q3286730,Manuel Africano,,,ao,ao
Q3286744,Manuel António Machado,,,ao,ao
Q3290141,Marco Paulo Rebelo Lopes,,,ao,ao
Q3301963,João Mawete,,,ao,ao
Q1356517,Pedro Luís António,,,ao,ao
Q1367228,Madjer,,,ao,ao
Q1373634,Eugénio Salessu,,,ao,ao
Q1374575,Álvaro Holden Roberto,,,ao,ao
Q1438803,Luís Lourenço,,,ao,ao
Q1393099,Luis Pedro Cavanda,,,ao,ao
Q1399054,Lopo do Nascimento,,,ao,ao
Q1406691,Fernando Guimarães Kevanu,,,ao,ao
Q1415445,Filomeno Vieira Dias,,,ao,ao
Q5274135,Didi,,,ao,ao
Q5216803,Daniel Chipenda,,,ao,ao
Q5218278,Daniel Ntongi-Nzinga,,,ao,ao
Q5232346,David Chingunji,,,ao,ao
Q5256370,Demosthenes Amos Chilingutila,,,ao,ao
Q5278316,Dinho Chingunji,,,ao,ao
Q5283810,Divaldo Alves,,,ao,ao
Q5288209,Dog Murras,,,ao,ao
Q2032817,Oscar Lino Lopes Fernandes Braga,,,ao,ao
Q2032898,Paulo Flores,,,ao,ao
Q2062862,Miguel Quiame,,,ao,ao
Q2062857,Ricardo Talu,,,ao,ao
Q2063438,Vata Matanu Garcia,,,ao,ao
Q7295916,Rats,,,ao,ao
Q7312631,Renato Campos,,,ao,ao
Q7198072,Pirolito,,,ao,ao
Q7160031,Pedro de Castro van Dúnem,,,ao,ao
Q7160040,Pedro de Morais Neto,,,ao,ao
Q7199028,Pitra Neto,,,ao,ao
Q7351774,Roberto Leal Monteiro,,,ao,ao
Q7369744,Rossana Quitongo,,,ao,ao
Q232501,Leila Lopes,,,ao,ao
Q247454,Zé Kalanga,,,ao,ao
Q259777,Arlindo Barbeitos,,,ao,ao
Q3742878,Fernando Alvim,,,ao,ao
Q3719041,Edgar Bartolomeu,,,ao,ao
Q3751013,Francisco Jordão,,,ao,ao
Q3810723,João Melo,,,ao,ao
Q3810720,Manucho Barros,,,ao,ao
Q3811208,Julião Kutonda,,,ao,ao
Q5964146,Hélder Costa,,,ao,ao
Q5716793,Henrique de Carvalho Santos,,,ao,ao
Q5934195,Hugo Marques,,,ao,ao
Q5996066,Iko Carreira,,,ao,ao
Q6069782,Irina D. França,,,ao,ao
Q2080201,Nadir Manuel,,,ao,ao
Q2080211,Sónia Ndoniema,,,ao,ao
Q57313,José Eduardo dos Santos,,,ao,ao
Q3462283,Amaro,,,ao,ao
Q3375330,Carolina Morais,,,ao,ao
Q3375654,Ilda Bengue,,,ao,ao
Q3375954,Maria Odeth Tavares,,,ao,ao
Q3397948,Ruy Duarte de Carvalho,,,ao,ao
Q3553518,Yuri da Cunha,,,ao,ao
Q3564471,Victor Carvalho,,,ao,ao
Q3564477,Vítor Covilhã,,,ao,ao
Q3565722,Walter Costa,,,ao,ao
Q3569213,Wilson Constantino Novo Estrela,,,ao,ao
Q3605699,Adriano Belmiro Duarte Nicolau,,,ao,ao
Q274495,Edson Nobre,,,ao,ao
Q282260,Milton Barros,,,ao,ao
Q301641,Hélder Vieira Dias,,,ao,ao
Q302262,Alexandre do Nascimento,,,ao,ao
Q7487064,Simão,,,ao,ao
Q7486708,Luís Miguel da Fonseca Silva,,,ao,ao
Q7487015,António João Neto,,,ao,ao
Q7487002,Nando Fernando Morais,,,ao,ao
Q7487046,Paulo Jorge da Silva,,,ao,ao
Q7487050,Simon Lekumburri,,,ao,ao
Q7487451,Aurélio de Sousa Soares,,,ao,ao
Q6298375,João Roque,,,ao,ao
Q6298271,João Mário,,,ao,ao
Q6293678,José Patrício,,,ao,ao
Q6294288,Pereira José de Fontes,,,ao,ao
Q6298234,João Manuel Bernardo,,,ao,ao
Q6298252,João Maria de Sousa,,,ao,ao
Q3359430,Isabel Guialo,,,ao,ao
Q3359429,Azenaide Carlos,,,ao,ao
Q3372812,Paulo Macedo,,,ao,ao
Q3337970,Nelson Sardinha,,,ao,ao
Q3346411,Francisco Álvaro Tuzunguidi Michel,,,ao,ao
Q3374949,Elzira Tavares,,,ao,ao
Q3614773,Américo Boavida,,,ao,ao
Q3638240,Benjamim João Romano,,,ao,ao
Q3644753,Birgite dos Santos,,,ao,ao
Q3646792,Dolly Menga,,,ao,ao
Q3649799,António Dembo,,,ao,ao
Q456034,Isabel dos Santos,,,ao,ao
Q455104,Fernando Agostinho da Costa,,,ao,ao
Q460121,Ana Paula Ribeiro Tavares,,,ao,ao
Q5369057,Emanuel Fernandes,,,ao,ao
Q5444698,Fernando Fernandes,,,ao,ao
Q5408299,Eugenio Manuvakola,,,ao,ao
Q5428243,Fabrício Mafuta,,,ao,ao
Q5442103,Felismina Cavela,,,ao,ao
Q5444720,Fernando Freitas,,,ao,ao
Q4353874,Pedro Lima,,,ao,ao
Q3999918,Trésore Quidome,,,ao,ao
Q4020598,Wlademiro Romero,,,ao,ao
Q4060754,Kadú,,,ao,ao
Q4062785,João Luis de Almeida,,,ao,ao
Q4381715,Neide Van-Dúnem,,,ao,ao
Q5499586,Fredy,,,ao,ao
Q5526551,Ismael Martins,,,ao,ao
Q5561350,Gilberto Buta Lutucuta,,,ao,ao
Q5607972,Jeremias Chitunda,,,ao,ao
Q5628265,H. Gil Ingles,,,ao,ao
Q5705393,Helio André,,,ao,ao
Q5713736,Hendrick Vaal Neto,,,ao,ao
Q5716744,Henrique N'zita Tiago,,,ao,ao
Q1760549,Victor Muzadi,,,ao,ao
Q1773575,Jean-Jacques Conceição,,,ao,ao
Q1790831,Lourdes Van-Dúnem,,,ao,ao
Q1932683,Miguel Francisco Pereira,,,ao,ao
Q2030256,Tumba Silva,,,ao,ao
Q8023261,Wilson dos Santos,,,ao,ao
Q7810164,Tito Chingunji,,,ao,ao
Q7909370,Valdemar Chidondo,,,ao,ao
Q7910724,Valentim Amões,,,ao,ao
Q7917419,Vaumara Rebelo,,,ao,ao
Q7920679,Venâncio da Silva Moura,,,ao,ao
Q7937532,Vivaldo Eduardo,,,ao,ao
Q8068340,Zeca Amaral,,,ao,ao
Q1442237,Francisco Viti,,,ao,ao
Q1457599,Georges Chikoti,,,ao,ao
Q1479462,Lúcio Lara,,,ao,ao
Q1527454,José Maria Botelho de Vasconcelos,,,ao,ao
Q2407702,Leonel Paulo,,,ao,ao
