# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q155
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q129063,Rafael Andriato,,,br,br
Q129127,Kléber Ramos,,,br,br
Q12073,Elmano Cardim,,,br,br
Q180724,João Paulo,,,br,br
Q180735,Fábio de Jesus,,,br,br
Q180862,Márcio Rodrigues,,,br,br
Q180875,João Carlos dos Santos,,,br,br
Q180866,Joubert Araújo Martins,,,br,br
Q180952,Éverton Santos,,,br,br
Q180934,Luís Fernando Martinez,,,br,br
Q62786,Hulk,,,br,br
Q62733,Leandro Damião,,,br,br
Q62761,Hermann von Ihering,,,br,br
Q4742,Pedro Caetano,,,br,br
Q4740,Júnior César Moreira da Cunha,,,br,br
Q6105,Hebe Camargo,,,br,br
Q130357,Maíla Machado,,,br,br
Q130683,Relson Gracie,,,br,br
Q132450,Edevaldo de Freitas,,,br,br
Q180968,Reinaldo,,,br,br
Q180959,Carlos Alexandre Souza Silva,,,br,br
Q180977,Leandro Montera da Silva,,,br,br
Q229651,Kaya Scodelario,,,br,br
Q230401,Astrud Gilberto,,,br,br
Q134165,Oscar Niemeyer,,,br,br
Q133873,Gustavo Tsuboi,,,br,br
Q73740,Ludwig Engels,,,br,br
Q73763,Esmeralda de Jesus Garcia,,,br,br
Q73797,Antonio Neves Braga,,,br,br
Q10490,Ayrton Senna,,,br,br
Q64056,Giovanni Piccolomo,,,br,br
Q64277,Arthur Bispo do Rosário,,,br,br
Q180877,Marcos Alberto Skavinski,,,br,br
Q180885,Adriano Ferreira Martins,,,br,br
Q230578,Fernando Henrique Cardoso,,,br,br
Q10720,Neuton,,,br,br
Q11964,Sylvia de Arruda Botelho Bittencourt,,,br,br
Q73082,Paulinho,,,br,br
Q73018,Ralf,,,br,br
Q230903,Alice Braga,,,br,br
Q231091,Morena Baccarin,,,br,br
Q12077,Carlos Lacerda,,,br,br
Q230827,Jordana Brewster,,,br,br
Q143295,Luíz Carlos Eccel,,,br,br
Q144827,Augusto Pestana,,,br,br
Q69846,Helmut Sick,,,br,br
Q70437,Pery Broad,,,br,br
Q71049,O. E. H. Wucherer,,,br,br
Q65301,Gentileza,,,br,br
Q73480,Willian,,,br,br
Q73230,Curt Nimuendajú,,,br,br
Q181000,Magnum,,,br,br
Q180986,Edmílson dos Santos Silva,,,br,br
Q151859,Alessandra Ambrosio,,,br,br
Q235955,Clarice Lispector,,,br,br
Q137242,Bernard,,,br,br
Q136059,Carlos María Ramírez,,,br,br
Q151866,Adriana Lima,,,br,br
Q12332,Breno Caldas,,,br,br
Q180894,Kléber Laube Pinheiro,,,br,br
Q180889,Ricardo Alexandre dos Santos,,,br,br
Q181070,Bruno Quadros,,,br,br
Q181080,Edvaldo Oliveira Chaves,,,br,br
Q12087,Austregésilo de Athayde,,,br,br
Q12304,Danton Jobim,,,br,br
Q228616,Marta,,,br,br
Q224834,Flávio Migliaccio,,,br,br
Q181108,Nádson Rodrigues de Souza,,,br,br
Q181098,Paulo Jamelli,,,br,br
Q138075,Alexandre Pato,,,br,br
Q138358,Eduardo Benes de Sales Rodrigues,,,br,br
Q180926,Leandro Domingues,,,br,br
Q180906,Leandro Lessa Azevedo,,,br,br
Q235815,Princess Maria Amélia of Brazil,,,br,br
Q235118,Fabiana Murer,,,br,br
Q235940,Ivete Sangalo,,,br,br
Q182459,Júlio César,,,br,br
Q181942,Hernane,,,br,br
Q182078,Agostinho Alves Ramos,,,br,br
Q182368,Césinha,,,br,br
Q182407,José Carlos Chacorowski,,,br,br
Q13012,Guimarães Rosa,,,br,br
Q149063,Monica Iozzi,,,br,br
Q149389,Glória Pires,,,br,br
Q181117,Jacinto Furtado de Brito Sobrinho,,,br,br
Q181111,Nélson Luís Kerchner,,,br,br
Q142794,Neymar,,,br,br
Q139762,Elio Rama,,,br,br
Q142626,Helena Ignez,,,br,br
Q181126,Alexandre Lopes,,,br,br
Q181128,Donizete Oliveira,,,br,br
Q152585,Christian Maicon Hening,,,br,br
Q152968,Kevin Kurányi,,,br,br
Q12881,Paulo Coelho,,,br,br
Q237693,Marina Silva,,,br,br
Q237612,Maiara Walsh,,,br,br
Q181092,Márcio Miranda Freitas Rocha da Silva,,,br,br
Q181096,Valdir Benedito,,,br,br
Q181139,Ramon Menezes,,,br,br
Q181168,Bernardo Fernandes da Silva,,,br,br
Q72886,Ricardinho,,,br,br
Q72011,Eduardo Pinheiro da Silva,,,br,br
Q72904,Luiz Adriano,,,br,br
