# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q1011
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q103759,Cesária Évora,,,cv,cv
Q74604,Julio Tavares,,,cv,cv
Q58252,José Brito,,,cv,cv
Q107431,Pedro Pires,,,cv,cv
Q273343,Bela Duarte,,,cv,cv
Q298609,Aristides Pereira,,,cv,cv
Q57517,Jorge Carlos Fonseca,,,cv,cv
Q57649,José Maria Neves,,,cv,cv
Q16211930,Eva Pereira,,,cv,cv
Q16210158,Denielsan Martins,,,cv,cv
Q16210681,Sonia Lopes,,,cv,cv
Q16212571,Lenira Santos,,,cv,cv
Q16222113,Euclides Varela,,,cv,cv
Q16231672,Armindo Rodrigues Mendes Furtado,,,cv,cv
Q16233817,Ricardo Jorge Pires Gomes,,,cv,cv
Q387172,Zé Luís,,,cv,cv
Q349126,Lerin Duarte,,,cv,cv
Q349513,Emerson da Luz,,,cv,cv
Q357286,Adilson Tavares Varela,,,cv,cv
Q327163,Gil Semedo,,,cv,cv
Q327180,Ovídio Martins,,,cv,cv
Q336265,Antonio Mascarenhas Monteiro,,,cv,cv
Q17489564,Adilson Vaz,,,cv,cv
Q17490130,Mirri Lobo,,,cv,cv
Q17544304,António Zeferino,,,cv,cv
Q17556339,Claude Constantino,,,cv,cv
Q17560793,Gelson Martins,,,cv,cv
Q500378,Carlos Veiga,,,cv,cv
Q500385,Gualberto do Rosário,,,cv,cv
Q548846,Baltasar Lopes da Silva,,,cv,cv
Q554836,Teófilo Chantre,,,cv,cv
Q23007684,Nuno da Costa,,,cv,cv
Q23540939,Felisberto Cardoso,,,cv,cv
Q23541080,Jamiro Monteiro,,,cv,cv
Q23705282,Júlio César Freire de Morais,,,cv,cv
Q1443944,Paulino do Livramento Évora,,,cv,cv
Q1633751,Freddy dos Santos,,,cv,cv
Q1658375,Ildo Fortes,,,cv,cv
Q1709761,Jotamont,,,cv,cv
Q17190299,Elizio,,,cv,cv
Q17285552,Aires Marques,,,cv,cv
Q17350585,Steven Fortes,,,cv,cv
Q17466350,Kuca Miranda,,,cv,cv
Q17484196,Jordan Larsson,,,cv,cv
Q2699502,Fernando Varela,,,cv,cv
Q2679968,Gégé,,,cv,cv
Q2636281,Manuel Lopes,,,cv,cv
Q2654702,Arlindo Gomes Furtado,,,cv,cv
Q387722,Josimar Lima,,,cv,cv
Q431170,Hernâni Borges,,,cv,cv
Q445463,Mayra Andrade,,,cv,cv
Q486879,Ildo Lobo,,,cv,cv
Q18243135,Celina Pereira,,,cv,cv
Q17579869,Ballack,,,cv,cv
Q17708723,Kisley,,,cv,cv
Q17859786,Thierry Graça,,,cv,cv
Q18011163,Christopher Martins,,,cv,cv
Q120987084,João Silva,,,cv,cv
Q117705977,Paulo Soares,,,cv,cv
Q116973665,Suzana Barros,,,cv,cv
Q119883227,Lixa,,,cv,cv
Q117744487,Filomena Fortes,,,cv,cv
Q118179936,Jorginho Soares,,,cv,cv
Q119024684,Artemisa Ferreira,,,cv,cv
Q120913699,EU.CLIDES,,,cv,cv
Q121307688,Eliezer Soares,,,cv,cv
Q121361653,Renato Soares,,,cv,cv
Q121437938,Jordan Semedo,,,cv,cv
Q121907216,Hélio Varela,,,cv,cv
Q121908120,Samuel Freire,,,cv,cv
Q108404893,Anderson Correia,,,cv,cv
Q108746603,Janine Lélis,,,cv,cv
Q108771056,Abraão Vicente,,,cv,cv
Q108782778,Arlindo Nascimento do Rosário,,,cv,cv
Q108782678,Gilberto Correia Carvalho Silva,,,cv,cv
Q109300702,Fidel Mendonça,,,cv,cv
Q109634752,José Luis Landim,,,cv,cv
Q110184199,Logan Costa,,,cv,cv
Q110305710,Alice Da Luz,,,cv,cv
Q29158211,Luís António Gomes Alves,,,cv,cv
Q29158764,Emanuel Jesus Correia Lopes,,,cv,cv
Q29317662,Billy Maximiano,,,cv,cv
Q3186585,José Veiga,,,cv,cv
Q3105937,Gilberto Reis,,,cv,cv
Q3132546,Henrique Teixeira de Sousa,,,cv,cv
Q3177450,Jerry Adriano,,,cv,cv
Q3186391,José Luís Tavares,,,cv,cv
Q3186396,José Luís de Jesus,,,cv,cv
Q3187331,João Vário,,,cv,cv
Q135360845,Hugo Silva,,,cv,cv
Q135360095,Maria Costa,,,cv,cv
Q135360847,Diogo Monteiro,,,cv,cv
Q135360113,Maria Correia,,,cv,cv
Q135356894,Patrick Spencer,,,cv,cv
Q135343914,João Embalo,,,cv,cv
Q135344565,Jessica Patricia Silva Da Costa,,,cv,cv
Q135345115,Márcia da Costa,,,cv,cv
Q135357902,Jessica Vaz,,,cv,cv
Q135357840,Roesley Diego Sanches Cardoso Mendes,,,cv,cv
Q135358363,Kelvin Almeida Lopes,,,cv,cv
Q135358837,Arlia Almeida,,,cv,cv
Q135359289,Anim Delgado,,,cv,cv
Q135358838,Yasmine Santos,,,cv,cv
Q135359489,Aniel Patrick Gomes Brito,,,cv,cv
Q135359324,Hugo Miguel Andrade Pereira,,,cv,cv
Q135359604,Luis Texeira,,,cv,cv
Q135360848,Ailton Almeida Goncalves,,,cv,cv
Q135360872,Alexandre Dos Santos,,,cv,cv
Q135360846,Davide Buccilli,,,cv,cv
Q135360849,Fabrizio Caetano,,,cv,cv
Q135360862,Geovani Martins,,,cv,cv
Q135360844,Luis Eduardo Leite,,,cv,cv
Q135361181,Alzira Martins,,,cv,cv
Q135360871,Mauro Tavares,,,cv,cv
