# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q1007
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q97860448,Fernando Vaz,,,gw,palop_other
Q98399077,Paulo Mendonça,,,gw,palop_other
Q97597769,Cadí Seidi,,,gw,palop_other
Q97609849,Malam Sambú,,,gw,palop_other
Q97626860,Issufo Baldé,,,gw,palop_other
Q97656390,Bilony Nhassé,,,gw,palop_other
Q97656345,Fernando Delfim da Silva,,,gw,palop_other
Q97656384,Degol Mendes,,,gw,palop_other
Q97656523,Domingos Malú,,,gw,palop_other
Q97656656,Eduardo Costa Sanhá,,,gw,palop_other
Q97656689,Marcelino Simões Lopes Cabral,,,gw,palop_other
Q97670952,Biaguê Na N’ Tan,,,gw,palop_other
Q97670983,Mário Lopes da Rosa,,,gw,palop_other
Q97703780,Hélder Vaz Lopes,,,gw,palop_other
Q97736514,António Óscar Barbosa,,,gw,palop_other
Q97736519,Barros Bacar Banjai,,,gw,palop_other
Q97736538,Higino Lopes Cardoso,,,gw,palop_other
Q97796057,Carlitos Barai,,,gw,palop_other
Q98138951,Nicandro Pereira Barreto,,,gw,palop_other
Q98398949,João Gomes Cardoso,,,gw,palop_other
Q98398970,Serifo Baldé,,,gw,palop_other
Q98399199,João Tátis Sá,,,gw,palop_other
Q97670958,Daniel Gomes,,,gw,palop_other
Q97597766,Osvaldo Abreu,,,gw,palop_other
Q104932979,Joao Johanning,,,gw,palop_other
Q105103721,Simão Júnior,,,gw,palop_other
Q105448242,Patrícia Godinho Gomes,,,gw,palop_other
Q105546440,Vicente Fernandes,,,gw,palop_other
Q105716968,Aia Nalé,,,gw,palop_other
Q105716970,Diana Barreto,,,gw,palop_other
Q105716969,Ires Cabral,,,gw,palop_other
Q105718477,Bimba Cabral,,,gw,palop_other
Q105956320,Vando Félix,,,gw,palop_other
Q98399205,Abubacar Baldé,,,gw,palop_other
Q98399227,Bubacar Rachid Djaló,,,gw,palop_other
Q98399247,Joaquim Baldé,,,gw,palop_other
Q98399218,Salvador Tchongó,,,gw,palop_other
Q98399822,Domingos Fernandes Gomes,,,gw,palop_other
Q98399865,François Kankoila Mendy,,,gw,palop_other
Q98609856,Adon Gomis,,,gw,palop_other
Q98768684,Sana Canté,,,gw,palop_other
Q98803994,Henrique Horta dos Santos,,,gw,palop_other
Q98807592,Filomena Embaló,,,gw,palop_other
Q98834422,Romão dos Santos,,,gw,palop_other
Q100767164,Seco Camara,,,gw,palop_other
Q100873289,Catarina Taborda,,,gw,palop_other
Q104760680,Mamadi Camará,,,gw,palop_other
Q57424,Manuel Serifo Nhamadjo,,,gw,palop_other
Q57718,Carlos Gomes Júnior,,,gw,palop_other
Q58164,Adiato Djaló Nandigna,,,gw,palop_other
Q114556141,Martina Moniz,,,gw,palop_other
Q114556442,Tcherno Djaló,,,gw,palop_other
Q114980925,Alassan Gutiérrez,,,gw,palop_other
Q115173057,Luizinho da Silva,,,gw,palop_other
Q115331110,Quicala Bari,,,gw,palop_other
Q116978384,Umaro Baldé,,,gw,palop_other
Q116621682,Nito Gomes,,,gw,palop_other
Q117087966,Manuel Pami,,,gw,palop_other
Q117090001,Bruno Ramírez,,,gw,palop_other
Q117816181,Serif Nhaga,,,gw,palop_other
Q117846480,Marciano Tchami,,,gw,palop_other
Q118465059,Armando Cabral,,,gw,palop_other
Q118906961,Carlos Augusto Schwarz da Silva,,,gw,palop_other
Q119173679,Dinisia Reis Embaló,,,gw,palop_other
Q119553513,Lola Pendande,,,gw,palop_other
Q176413,Carlos Correia,,,gw,palop_other
Q123000,Martinho Ndafa Kabi,,,gw,palop_other
Q142540,Faustino Imbali,,,gw,palop_other
Q166241,K. C. Rivers,,,gw,palop_other
Q6847384,Mike James,,,gw,palop_other
Q6745182,Malá,,,gw,palop_other
Q6745389,Mamadu Saliu Djaló Pires,,,gw,palop_other
Q6761700,Maria do Céu Monteiro,,,gw,palop_other
Q6891337,Mohamed Lamine Sanha,,,gw,palop_other
Q7197539,Piqueti Djassi Brito Silva,,,gw,palop_other
Q7359586,Rogério Araújo Adolfo Herbert,,,gw,palop_other
Q97140627,Wasna Papai Danfa,,,gw,palop_other
Q97167836,Sandji Fati,,,gw,palop_other
Q97275267,Victor Gomes Pereira,,,gw,palop_other
Q97343212,Abdu Mané,,,gw,palop_other
Q97570576,Daniel Suleimane Embaló,,,gw,palop_other
Q97570597,Nicolau dos Santos,,,gw,palop_other
Q16232572,Rachide Forbes,,,gw,palop_other
Q16234976,Sambinha,,,gw,palop_other
Q16235034,Vladimir Soares Forbs,,,gw,palop_other
Q16235132,Pavel Vieira,,,gw,palop_other
Q16235439,Hemiliano Gomes Lopes,,,gw,palop_other
Q16235633,Formose Mendy,,,gw,palop_other
Q16236712,Marlon Costa,,,gw,palop_other
Q16382949,Idrissa Camará,,,gw,palop_other
Q131291007,Iafai Camará,,,gw,palop_other
Q131449313,Adramane Cassamá,,,gw,palop_other
Q131531646,Usalifa José Indi,,,gw,palop_other
Q131754838,João Pereira Albertine,,,gw,palop_other
Q132657076,Emílio Tavares Lima,,,gw,palop_other
Q133202912,Víctor Luís Quematcha,,,gw,palop_other
Q13563911,Colton Iverson,,,gw,palop_other
Q15303418,Gerso Fernandes,,,gw,palop_other
Q16105075,António Baticã Ferreira,,,gw,palop_other
Q16147659,Lamine Bá,,,gw,palop_other
Q16216050,Leopoldina Ross,,,gw,palop_other
Q286130,Henrique Rosa,,,gw,palop_other
Q311443,Luís Cabral,,,gw,palop_other
Q314538,Raimundo Pereira,,,gw,palop_other
Q135910765,Fernando Fortes,,,gw,palop_other
Q136211892,Edson Silva,,,gw,palop_other
Q136908399,Justino Delgado,,,gw,palop_other
Q135910735,Daniel Ferreira,,,gw,palop_other
Q135910767,Gabriela Fernandes,,,gw,palop_other
Q135910730,Augusto Viegas,,,gw,palop_other
Q135910748,Luís Melo,,,gw,palop_other
Q135910770,Lucio Soares,,,gw,palop_other
Q135910731,Brum Sitna Namone,,,gw,palop_other
Q135910728,Armando Ramos da Silva,,,gw,palop_other
Q135910729,Armando Tchoba dos Santos,,,gw,palop_other
Q135910732,Buota Na Batcha,,,gw,palop_other
Q135910733,Carlos Agosto Soares,,,gw,palop_other
Q135910738,Fátima Faty,,,gw,palop_other
Q135910739,Fernando Correia Landim,,,gw,palop_other
Q135910736,Dauda Sow,,,gw,palop_other
Q135910737,Denis Cabelol Na Fantchamna,,,gw,palop_other
Q135910742,Isabel Mendes Correia Buscardini,,,gw,palop_other
Q135910743,Issufo Sanha,,,gw,palop_other
Q135910740,Furtado Delfim da Silva,,,gw,palop_other
Q135910746,Joaquim Namone,,,gw,palop_other
Q135910747,Luis Anibal Vaz Fernandes,,,gw,palop_other
Q135910744,Joao Amadu Fadia,,,gw,palop_other
Q135910745,Joaquim Mumine Embaló,,,gw,palop_other
Q135910750,Mamai Barbosa,,,gw,palop_other
Q135910751,Manuel Cabral,,,gw,palop_other
Q135910749,Mamadu Badji,,,gw,palop_other
Q135910752,Maria Celina Vieira Tavares,,,gw,palop_other
Q135910755,Oscar Balde,,,gw,palop_other
Q135910753,Octávio Inocêncio Alves,,,gw,palop_other
Q135910758,Pinho Brandao,,,gw,palop_other
Q135910759,Purna Bia,,,gw,palop_other
Q135910756,Otto Schacht,,,gw,palop_other
Q135910757,Pedro Morato Milaco,,,gw,palop_other
Q135910766,Francisco Jose Fernando Junior,,,gw,palop_other
Q135910771,Maria de Lurdes Vaz,,,gw,palop_other
Q135910768,Jose Antonio da Cruz Almeida,,,gw,palop_other
Q135910769,Jose de Pina,,,gw,palop_other
Q135910774,Sola N’Quilin na Bitchita,,,gw,palop_other
Q135910772,Maria Evarista de Sousa,,,gw,palop_other
Q135910775,Tibna Sambe Na Wana,,,gw,palop_other
Q135910773,Maria Inácia Có Sanhá,,,gw,palop_other
Q135910776,Tomas Gomes Barbosa,,,gw,palop_other
Q135976471,Mariana Marques Ribeiro,,,gw,palop_other
Q135984232,Dai Baldé,,,gw,palop_other
Q135987389,Elydjah Mendy,,,gw,palop_other
Q136381375,Beila Unjanqui,,,gw,palop_other
Q136452793,Yovanka Perdigão,,,gw,palop_other
Q136458171,Marculino Ninte,,,gw,palop_other
Q136768520,Maria Justado Souto Amado,,,gw,palop_other
Q136768650,Djucu Dabó,,,gw,palop_other
Q136768949,Rita Ié,,,gw,palop_other
Q136769023,Amadú Dafé,,,gw,palop_other
Q136769112,Sumaila Jaló,,,gw,palop_other
Q136769214,Abdelaziz Vera Cruz,,,gw,palop_other
Q136908199,Ector Diógenes Cassamá,,,gw,palop_other
Q136908340,Ivan Barbosa,,,gw,palop_other
Q137040520,Denis N'Canha,,,gw,palop_other
Q106164,João Bernardo Vieira,,,gw,palop_other
Q116570,Rémi Gomis,,,gw,palop_other
Q551585,Aristides Gomes,,,gw,palop_other
Q570433,Ansumane Mané,,,gw,palop_other
Q627337,Rui Duarte de Barros,,,gw,palop_other
Q30122377,Bambo,,,gw,palop_other
Q29221159,Benvindo Moreno,,,gw,palop_other
Q29452643,Jorge Correia Reixa,,,gw,palop_other
Q29511105,Forbs,,,gw,palop_other
Q29913347,Cadi Mané,,,gw,palop_other
Q30034632,Braima Candé,,,gw,palop_other
Q30230533,Mbunde Cumba Mbali,,,gw,palop_other
Q30320323,Houboulang Mendes,,,gw,palop_other
Q30345193,Mario Mamadou Touré,,,gw,palop_other
Q63579292,José Araújo,,,gw,palop_other
Q60171946,Crispina Peres,,,gw,palop_other
Q61666588,Carmelita Pires,,,gw,palop_other
Q61791438,Miguel de Barros,,,gw,palop_other
