# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q1029
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q219918,Samora Moisés Machel,,,mz,mz
Q228807,Maria Mutola,,,mz,mz
Q208355,Joaquim Chissano,,,mz,mz
Q57392,Armando Guebuza,,,mz,mz
Q58223,Oldemiro Balói,,,mz,mz
Q34282,Alberto Vaquina,,,mz,mz
Q5024,Abel Xavier,,,mz,mz
Q236020,Luísa Diogo,,,mz,mz
Q239105,Graça Machel,,,mz,mz
Q212342,André Matsangaissa,,,mz,mz
Q270580,Paulina Chiziane,,,mz,mz
Q357430,Aires Ali,,,mz,mz
Q20047924,Ângela Ferreira,,,mz,mz
Q19958795,Nazira Abdul,,,mz,mz
Q20014463,Vitória Diogo,,,mz,mz
Q20085776,Samito,,,mz,mz
Q20192117,Jaime Basílio Monteiro,,,mz,mz
Q20740457,Carlos Nuno Castel-Branco,,,mz,mz
Q20745030,Pio Matos,,,mz,mz
Q1112681,Carlos Fumo Gonçalves,,,mz,mz
Q1164625,Mário João Manganiga,,,mz,mz
Q1165952,Dario Khan,,,mz,mz
Q1225627,Dilon Djindji,,,mz,mz
Q968260,Carlos Cardoso,,,mz,mz
Q968908,Lionel Bastos,,,mz,mz
Q10280037,Fany Pfumo,,,mz,mz
Q10289562,Gilberto Mendes,,,mz,mz
Q10292952,Gulamo Khan,,,mz,mz
Q10308640,Josemar Machaísse,,,mz,mz
Q10311261,João Carlos Alves de Vasconcelos Ribeiro,,,mz,mz
Q10325143,Marcelo Panguana,,,mz,mz
Q5243706,Daúto Faquirá,,,mz,mz
Q5278340,Dinis Sengulane,,,mz,mz
Q5340323,Edson Madeira,,,mz,mz
Q5340644,Eduardo Joaquim Mulémbwè,,,mz,mz
Q5398931,Esperança Bias,,,mz,mz
Q5398929,Esperança Machavela,,,mz,mz
Q5434415,Fanuel Massingue,,,mz,mz
Q11815380,Pedro Cruz,,,mz,mz
Q11728706,João Chissano,,,mz,mz
Q11754533,Leonardo Loforte,,,mz,mz
Q11764392,Luís Germano Borlotes Dias,,,mz,mz
Q11787766,Mário Artur Borges Oliveira,,,mz,mz
Q11794209,Nuro Tualibudane,,,mz,mz
Q11815383,Pedro Gonçalvo,,,mz,mz
Q11850616,Alberto Mula,,,mz,mz
Q375824,Adriano Langa,,,mz,mz
Q382101,Mia Couto,,,mz,mz
Q383419,Afonso Dhlakama,,,mz,mz
Q20993734,Bruno Pinto,,,mz,mz
Q20993733,Bruno Pimentel,,,mz,mz
Q20751598,Nuno Miguel Pinto Lopes Araújo,,,mz,mz
Q20751656,Ivan Esculudes,,,mz,mz
Q20751657,Spiros Esculudes,,,mz,mz
Q20751731,Nelson Miquicene,,,mz,mz
Q20883957,Paulo Machava,,,mz,mz
Q20993738,Arnaldo Queirós,,,mz,mz
Q20993744,Mário Rodriguez,,,mz,mz
Q3336234,Nelinho,,,mz,mz
Q3298231,Leonor Piuza,,,mz,mz
Q3319731,Momed Hagy,,,mz,mz
Q3574625,Zainadine Júnior,,,mz,mz
Q3642716,Dimitri Tsafendas,,,mz,mz
Q3679139,Clarisse Machanguana,,,mz,mz
