# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q45
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q433543,Elise Hensler,,,pt,pt
Q433996,Albertina Dias,,,pt,pt
Q434640,António dos Reis Rodrigues,,,pt,pt
Q438663,Maria João Koehler,,,pt,pt
Q438868,Diogo de Freitas do Amaral,,,pt,pt
Q428603,Luís Neto,,,pt,pt
Q433218,Mafalda Arnauth,,,pt,pt
Q433235,Katia Guerreiro,,,pt,pt
Q326655,Mascarenhas,,,pt,pt
Q326452,Miguel Lopes,,,pt,pt
Q328869,Rúben Micael,,,pt,pt
Q440450,Raquel Tavares,,,pt,pt
Q440326,Maria Guinot,,,pt,pt
Q440305,Rita Blanco,,,pt,pt
Q440355,Marisa Matias,,,pt,pt
Q339151,Jaime Cortesão,,,pt,pt
Q343470,António Maria Baptista,,,pt,pt
Q343997,Marco Caneira,,,pt,pt
Q439377,Assunção Cristas,,,pt,pt
Q439414,Helena Almeida,,,pt,pt
Q439815,Catarina Furtado,,,pt,pt
Q329533,Duda,,,pt,pt
Q329686,Bruno Castanheira,,,pt,pt
Q329952,João Cabreira,,,pt,pt
Q329933,Rui Sousa,,,pt,pt
Q447738,Maria João,,,pt,pt
Q447483,Domingos Paciência,,,pt,pt
Q448847,Alves Barbosa,,,pt,pt
Q336918,Guerra Junqueiro,,,pt,pt
Q336891,Abílio Rodas de Sousa Ribas,,,pt,pt
Q336884,António de Spínola,,,pt,pt
Q185823,João Alves,,,pt,pt
Q188241,Ricardo Quaresma,,,pt,pt
Q1879,Corentin Martins,,,pt,pt
Q5024,Abel Xavier,,,pt,pt
Q259861,Guilhermina Suggia,,,pt,pt
Q260092,Inês de Medeiros,,,pt,pt
Q266080,Sara Tavares,,,pt,pt
Q266197,Defensor Moura,,,pt,pt
Q266286,Manuela Machado,,,pt,pt
Q353147,Paulo Diogo,,,pt,pt
Q355202,Adelino da Palma Carlos,,,pt,pt
Q355193,Vieirinha,,,pt,pt
Q441943,Aurea,,,pt,pt
Q440594,Alexandra Lencastre,,,pt,pt
Q440907,Catarina Eufémia,,,pt,pt
Q440982,Bernardo Sassetti,,,pt,pt
Q288503,Teresa Heinz Kerry,,,pt,pt
Q289449,Nina Bratchikova,,,pt,pt
Q289748,Catarina Wallenstein,,,pt,pt
Q273776,Éder,,,pt,pt
Q275677,Maria de Lurdes Rodrigues,,,pt,pt
Q440127,Rui Machado,,,pt,pt
Q440290,Manuela Bravo,,,pt,pt
Q440218,Teresa Villaverde,,,pt,pt
Q182367,José Sócrates,,,pt,pt
Q183371,Michelle Larcher de Brito,,,pt,pt
Q257519,Infanta Maria das Neves of Portugal,,,pt,pt
Q259094,Bruno Gagliasso,,,pt,pt
Q259593,Paulo Branco,,,pt,pt
Q443027,Francisco Lázaro,,,pt,pt
Q442878,Pedro Boese,,,pt,pt
Q442821,Vitorino Antunes,,,pt,pt
Q193000,Bruno Alves,,,pt,pt
Q357932,Francisco José Fernandes,,,pt,pt
Q357941,Mário Lino,,,pt,pt
Q359362,Francisco Craveiro Lopes,,,pt,pt
Q260167,Alexandre O'Neill,,,pt,pt
Q261661,Carla Sacramento,,,pt,pt
Q263242,Lucrécia Jardim,,,pt,pt
Q277772,Pelé,,,pt,pt
Q279104,Frederico Tavares,,,pt,pt
Q280482,Madalena Iglésias do Vale,,,pt,pt
Q331414,José Ramos Preto,,,pt,pt
Q331429,Tomé de Barros Queirós,,,pt,pt
Q333849,António Lobo Antunes,,,pt,pt
Q335435,Armindo Monteiro,,,pt,pt
Q364934,Alberto Costa,,,pt,pt
Q364599,José Régio,,,pt,pt
Q365029,Adolfo Casais Monteiro,,,pt,pt
Q365293,Francisco Nunes Correia,,,pt,pt
Q365986,António Correia de Campos,,,pt,pt
Q281702,Liberato Pinto,,,pt,pt
Q282193,Mastiksoul,,,pt,pt
Q286722,Camilo Pessanha,,,pt,pt
Q286764,Manuel de Arriaga,,,pt,pt
Q345034,Acácio Lino,,,pt,pt
Q345065,Acácio da Silva,,,pt,pt
Q446042,Vital Moreira,,,pt,pt
Q446236,Nilton Fernandes,,,pt,pt
Q447031,Ricardo Sá Pinto,,,pt,pt
Q295049,Manuel Pinto da Costa,,,pt,pt
Q271220,Vanessa Fernandes,,,pt,pt
Q272217,Alexandrina of Balazar,,,pt,pt
Q273219,António Egas Moniz,,,pt,pt
Q264150,Sara Moreira,,,pt,pt
Q265725,Nuno Oliveira,,,pt,pt
Q265288,Arthur Napoleão dos Santos,,,pt,pt
Q263545,Princess Auguste Viktoria of Hohenzollern,,,pt,pt
Q362467,André Martins,,,pt,pt
Q363829,Paulo Futre,,,pt,pt
Q180879,Geraldo Alves,,,pt,pt
Q179347,Leonor Seixas,,,pt,pt
Q180329,Fernando Eduardo Carita,,,pt,pt
Q180801,Isabel Pires de Lima,,,pt,pt
Q181415,"Infanta Adelgundes, Duchess of Guimarães",,,pt,pt
Q11509,Xanana Gusmão,,,pt,pt
Q6367,Ana Free,,,pt,pt
Q266319,Soledad Miranda,,,pt,pt
Q268154,Teresa Salgueiro,,,pt,pt
Q269675,Lúcia Moniz,,,pt,pt
Q442262,"Luisa Isabel Álvarez de Toledo, 21st Duchess of Medina Sidonia",,,pt,pt
Q357477,José Marques da Silva,,,pt,pt
Q357359,Carlos Maia Pinto,,,pt,pt
Q357489,António Ginestal Machado,,,pt,pt
Q357731,Manuel Maria Coelho,,,pt,pt
Q357915,José de Freitas Ribeiro,,,pt,pt
Q188432,Joaquim de Almeida,,,pt,pt
Q188700,José Francisco Pacheco,,,pt,pt
Q188846,Albino Forjaz de Sampaio,,,pt,pt
Q361418,Fernando Gomes,,,pt,pt
Q360763,Daniel Fernandes,,,pt,pt
Q361180,Ni Amorim,,,pt,pt
Q269765,Bruno Pires,,,pt,pt
Q297845,Manuel Fernandes,,,pt,pt
Q299367,Cris,,,pt,pt
Q192565,João Pereira,,,pt,pt
Q190608,Rui Costa,,,pt,pt
Q184614,Paulo Ferreira,,,pt,pt
Q185771,Mário Sottomayor Cardia,,,pt,pt
Q209358,André Silva,,,pt,pt
Q210950,Luisão,,,pt,pt
Q210944,Tiago Mendes,,,pt,pt
Q294881,Petit,,,pt,pt
Q293024,Conceição Ferreira,,,pt,pt
Q291450,Leonor Silveira,,,pt,pt
Q293228,Maria Keil,,,pt,pt
Q345538,Calouste Gulbenkian,,,pt,pt
Q345926,Teófilo Braga,,,pt,pt
Q346739,Paulo Jorge Vieira Alves,,,pt,pt
Q452188,Rui Silva,,,pt,pt
Q450731,Conchita Cintrón,,,pt,pt
Q450913,Lídia Jorge,,,pt,pt
Q451771,Amadeo de Souza Cardoso,,,pt,pt
Q193568,Nuno Gomes,,,pt,pt
Q349505,Belmiro de Azevedo,,,pt,pt
Q349486,Manuel Carmo,,,pt,pt
Q351972,João Vieira Pinto,,,pt,pt
Q356691,Sidónio Pais,,,pt,pt
Q356907,Frederico Gil,,,pt,pt
Q357343,Alfredo Rodrigues Gaspar,,,pt,pt
Q360687,Fernando Santos,,,pt,pt
Q360213,Carlos Jorge Neto Martins,,,pt,pt
Q360221,Hélder Ornelas,,,pt,pt
Q360241,José Travassos,,,pt,pt
Q460761,Patricia Kraus,,,pt,pt
Q460825,Solveig Nordlund,,,pt,pt
Q461148,António Sardinha,,,pt,pt
Q461468,Frederica Piedade,,,pt,pt
Q444080,Amélia Muge,,,pt,pt
Q444074,Inês Thomas Almeida,,,pt,pt
Q444073,Jesualdo Ferreira,,,pt,pt
Q444119,Maria Teresa de Noronha,,,pt,pt
Q271034,Telma Monteiro,,,pt,pt
Q271036,Lura,,,pt,pt
Q270229,Jéssica Augusto,,,pt,pt
Q270268,Natália Correia,,,pt,pt
Q203665,Simão Sabrosa,,,pt,pt
Q205026,Jorge Cramez,,,pt,pt
Q205246,Filipe Morais,,,pt,pt
Q277180,Carlos Mendes,,,pt,pt
Q276402,Silvestre Varela,,,pt,pt
Q277190,Ana Padrão,,,pt,pt
Q16118,Manuela M. Veloso,,,pt,pt
Q16371,Constança Capdeville,,,pt,pt
Q24881,Laura Soveral,,,pt,pt
Q454958,Carlos Lopes,,,pt,pt
Q453717,Francisco d’Andrade,,,pt,pt
Q455154,Vera Santos,,,pt,pt
Q443434,Eduardo Chivambo Mondlane,,,pt,pt
Q443726,Maria Isabel Barreno,,,pt,pt
Q444059,Manuela Ferreira Leite,,,pt,pt
Q455172,Amaro Antunes,,,pt,pt
Q455317,Bernardino Machado,,,pt,pt
Q206232,Jorge de Sena,,,pt,pt
Q206247,Quim,,,pt,pt
Q206147,Zita Seabra,,,pt,pt
Q206278,Jacinta Marto,,,pt,pt
Q460483,Patrícia Mamona,,,pt,pt
Q459131,Joana Ramos,,,pt,pt
Q460370,Ticha Penicheiro,,,pt,pt
Q363962,Rui Costa,,,pt,pt
Q198064,Bruno Martins Indi,,,pt,pt
Q198524,Ana Dulce Félix,,,pt,pt
Q44851,Miguel Torga,,,pt,pt
Q43264,Manoel de Oliveira,,,pt,pt
Q448851,Alves Redol,,,pt,pt
Q448858,Alves dos Reis,,,pt,pt
Q448884,Aurora Cunha,,,pt,pt
Q465049,Jorge Costa,,,pt,pt
Q464293,Filipa Sousa,,,pt,pt
Q464465,Vânia Fernandes,,,pt,pt
Q464593,Bruno Patacas,,,pt,pt
Q463930,Ana Moura,,,pt,pt
Q463925,Cristina Branco,,,pt,pt
Q464005,Tonicha,,,pt,pt
Q211996,José Bosingwa,,,pt,pt
Q213416,Amílcar Cabral,,,pt,pt
Q212914,André Villas-Boas,,,pt,pt
Q466945,Mário de Sá-Carneiro,,,pt,pt
Q467179,Florbela Espanca,,,pt,pt
Q45809,Acúrsio Carrelo,,,pt,pt
Q46068,Agostinho Cá,,,pt,pt
Q311095,Jorge Andrade,,,pt,pt
Q311440,António Guterres,,,pt,pt
