# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q1039
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q131749390,Américo Ramos,,,st,palop_other
Q135103541,Suzete,,,st,palop_other
Q136387288,João Silva,,,st,palop_other
Q123115952,Anastácia Carvalho,,,st,palop_other
Q123475983,Pedro Mateus,,,st,palop_other
Q123690402,Álvaro Amado,,,st,palop_other
Q124218365,João de Ceita Nazaré,,,st,palop_other
Q129831886,Roldeney de Oliveira,,,st,palop_other
Q27986398,Armindo Ramos,,,st,palop_other
Q27986410,Urbino Botelho,,,st,palop_other
Q27990792,Eugénio Peirera,,,st,palop_other
Q27999645,Alcino Pinto,,,st,palop_other
Q28105147,Arlindo Vicente de Assunção Carvalho,,,st,palop_other
Q28105134,Francisco do Nascimento,,,st,palop_other
Q28105143,Fernando Daqua,,,st,palop_other
Q28105160,Luis Taraveira,,,st,palop_other
Q28343264,Benjamim Vera Cruz,,,st,palop_other
Q28343265,José Luis Mendes Xavier,,,st,palop_other
Q28497471,Alberto Paulino,,,st,palop_other
Q28497468,Manuel Salvador dos Ramos,,,st,palop_other
Q28497470,Natália Pedro da Costa Umbelina Neto,,,st,palop_other
Q28498262,Gilson,,,st,palop_other
Q28497474,Alberto Ferreira Chong,,,st,palop_other
Q28497475,Albertino Bragança,,,st,palop_other
Q28497486,Armindo Tomba,,,st,palop_other
Q28497472,Homero Jeronimo Salvaterra,,,st,palop_other
Q28497473,Paulo Jorge Espirito Santo,,,st,palop_other
Q28497820,Jacinto Jesús,,,st,palop_other
Q28497942,António Quintas do Espírito Santo,,,st,palop_other
Q28497943,Carlos Filomeno Agostinho das Neves,,,st,palop_other
Q28801972,Leonel Pontes,,,st,palop_other
Q30118192,Fernando da Silva Maquengo de Freitas,,,st,palop_other
Q30118190,José Maria da Fonseca,,,st,palop_other
Q30118193,Osvaldo Abreu,,,st,palop_other
Q30935444,Guadalupe de Ceita,,,st,palop_other
Q44746066,Ze,,,st,palop_other
Q54807049,José Miranda,,,st,palop_other
Q42626636,Elsa Teixeira Pinto,,,st,palop_other
Q43078643,Célia Posser,,,st,palop_other
Q44738533,Tavarinho,,,st,palop_other
Q47789497,Gorete Semedo,,,st,palop_other
Q55185575,Olimpia Barbosa,,,st,palop_other
Q56119143,António Ramos Machiaba,,,st,palop_other
Q236416,Naide Gomes,,,st,palop_other
Q271012,Fradique de Menezes,,,st,palop_other
Q289154,Manuel Quintas de Almeida,,,st,palop_other
Q96180359,Inocência Mata,,,st,palop_other
Q99510744,Edite Ten Juá,,,st,palop_other
Q65681477,Dilson,,,st,palop_other
Q67180937,Arlete Zeferino,,,st,palop_other
Q67190790,Alvaro Santiago,,,st,palop_other
Q67190752,Watson Almeida,,,st,palop_other
Q70562827,Roque Fernandes dos Ramos,,,st,palop_other
Q77425160,Mario Lopes,,,st,palop_other
Q99489506,Filipe Nascimento,,,st,palop_other
Q80325337,Gualdino Mauro,,,st,palop_other
Q64785383,Álvaro Santiago,,,st,palop_other
Q59535822,Victor Monteiro,,,st,palop_other
Q64785393,Agostinho Fernandes,,,st,palop_other
Q57085436,Jorge Bom Jesus,,,st,palop_other
Q57337288,Sara Neto,,,st,palop_other
Q58942862,Katya Aragão,,,st,palop_other
Q59538119,João Quaresma Viegas Bexigas,,,st,palop_other
Q59572738,Carlos Olímpio Stock,,,st,palop_other
Q59782093,Osvaldo Vaz,,,st,palop_other
Q62882935,Joao Carlos Silva,,,st,palop_other
Q64785171,Abnildo Oliveira,,,st,palop_other
Q64785138,Ekeneide dos Santos,,,st,palop_other
Q99511621,Cilcio dos Santos,,,st,palop_other
Q99511870,Eugénio Nascimento,,,st,palop_other
Q99520496,Aerton do Rosário,,,st,palop_other
Q100934343,Aylton Tesch,,,st,palop_other
Q103672629,Kilson,,,st,palop_other
