# source_url: https://query.wikidata.org/sparql
# license: CC0
# country_qid: Q574
# note: WDQS label corpus; given/family fields blank when property joins time out
qid,label,given_name,family_name,country,country_class
Q15833866,Maria Angelica Rangel da Cruz dos Reis,,,tl,palop_other
Q15833869,Maria Fernanda Lay,,,tl,palop_other
Q15833886,Maria Lurdes Martins de Sousa Bessa,,,tl,palop_other
Q15833895,Maria Terezinha Viegas,,,tl,palop_other
Q15833892,Maria Rosa da Camara,,,tl,palop_other
Q15833898,Maria do Céu Sarmento,,,tl,palop_other
Q15834353,Mateus de Jesus,,,tl,palop_other
Q15836318,Natalino dos Santos,,,tl,palop_other
Q15836424,Natália de Araújo,,,tl,palop_other
Q15837841,Osório Florindo da Conceição Costa,,,tl,palop_other
Q20641252,Filipe Oliveira,,,tl,palop_other
Q19959124,Tomás Cabral,,,tl,palop_other
Q19959482,Bendito Freitas,,,tl,palop_other
Q19959910,Júlio Hornay,,,tl,palop_other
Q19959911,Leovigildo Hornay,,,tl,palop_other
Q20171024,Francisco de Andrade,,,tl,palop_other
Q20641443,Raimundo Sarmento,,,tl,palop_other
Q20716922,Nelson Sing,,,tl,palop_other
Q20745826,Manuel Salsinha,,,tl,palop_other
Q21475105,Armando Varela,,,tl,palop_other
Q20753040,Hélder Lopes,,,tl,palop_other
Q20752368,António Ximenes da Costa,,,tl,palop_other
Q20752371,Cristiano da Costa,,,tl,palop_other
Q20827525,Nélio Isaac Sarmento,,,tl,palop_other
Q21033082,Natalino Monteiro,,,tl,palop_other
Q21033195,Filipus Nino Pereira,,,tl,palop_other
Q21063405,Cácio de Souza Costa,,,tl,palop_other
Q21066654,Jorge Sabas Victor,,,tl,palop_other
Q21066653,Juliao Monteiro,,,tl,palop_other
Q21519969,Veneranda Lemos,,,tl,palop_other
Q21528864,Abílio Vieira,,,tl,palop_other
Q23063040,Abel dos Santos Fátima,,,tl,palop_other
Q23639248,Luís Maria Lobato,,,tl,palop_other
Q23639404,João Mariano Saldanha,,,tl,palop_other
Q23874603,Pedro Klamar Fuik,,,tl,palop_other
Q23874830,Maria Olandina Isabel Caeiro Alves,,,tl,palop_other
Q23899668,Olímpio Branco,,,tl,palop_other
Q23900382,Egídio de Jesus,,,tl,palop_other
Q23901099,Filomeno Aleixo,,,tl,palop_other
Q23902067,Egas da Costa Freitas,,,tl,palop_other
Q23903178,Pascoela Barreto,,,tl,palop_other
Q23904744,Arlindo Marçal,,,tl,palop_other
Q23904742,Manuel Abrantes,,,tl,palop_other
Q23906425,Abel Ximenes,,,tl,palop_other
Q23925294,Marçal Avelino Ximenes,,,tl,palop_other
Q11509,Xanana Gusmão,,,tl,palop_other
Q11664,Mari Alkatiri,,,tl,palop_other
Q3719840,Eduardo Pereira,,,tl,palop_other
Q3840963,Luís Cardoso,,,tl,palop_other
Q3288786,Emílio da Silva,,,tl,palop_other
